Year,Dec,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov
1950,52,61,55,55,62.0,73.0,79.0,79.0,78.0,74.0,68.0,53.0
1951,45,49,50,57,63.0,70.0,78.0,80.0,80.0,75.0,69.0,53.0
1952,54,55,52,57,62.0,73.0,82.0,81.0,80.0,75.0,62.0,56.0
1953,48,52,53,60,64.0,77.0,77.0,80.0,78.0,75.0,66.0,55.0
1954,51,51,55,56,67.0,68.0,79.0,81.0,82.0,77.0,66.0,55.0
1955,48,47,52,60,67.0,74.0,75.0,80.0,80.0,75.0,64.0,55.0
1956,47,45,57,57,63.0,73.0,77.0,80.0,79.0,72.0,66.0,54.0
1957,57,50,56,55,64.0,71.0,77.0,79.0,78.0,76.0,62.0,58.0
1958,50,43,43,52,64.0,71.0,77.0,81.0,80.0,76.0,63.0,60.0
1959,46,46,54,55,65.0,73.0,76.0,78.0,78.0,73.0,69.0,57.0
1960,50,49,49,46,66.0,72.0,77.0,80.0,80.0,76.0,68.0,58.0
1961,44,44,52,61,60.0,69.0,76.0,80.0,78.0,77.0,63.0,59.0
1962,51,47,56,53,62.0,75.0,76.0,80.0,79.0,74.0,67.0,54.0
1963,46,45,45,61,65.0,71.0,79.0,79.0,80.0,73.0,67.0,57.0
1964,44,48,47,58,66.0,73.0,80.0,78.0,79.0,76.0,62.0,60.0
1965,53,48,51,54,65.0,75.0,76.0,79.0,79.0,75.0,65.0,57.0
1966,50,44,49,54,63.0,70.0,74.0,79.0,80.0,76.0,67.0,56.0
1967,49,51,48,59,66.0,71.0,75.0,79.0,78.0,69.0,62.0,53.0
1968,53,43,41,55,65.0,71.0,77.0,80.0,80.0,74.0,66.0,53.0
1969,47,44,45,50,62.0,69.0,79.0,81.0,76.0,73.0,68.0,53.0
1970,46,41,49,57,66.0,72.0,78.0,82.0,80.0,77.0,67.0,54.0
1971,52,50,50,52,63.0,71.0,80.0,80.0,79.0,77.0,71.0,57.0
1972,59,55,49,57,64.0,69.0,74.0,79.0,80.0,76.0,67.0,57.0
1973,56,48,46,61,62.0,71.0,78.0,82.0,81.0,79.0,69.0,62.0
1974,51,62,52,62,64.0,74.0,75.0,78.0,79.0,75.0,62.0,55.0
1975,51,54,55,57,62.0,74.0,78.0,79.0,81.0,76.0,69.0,59.0
1976,50,45,56,62,64.0,70.0,75.0,80.0,77.0,74.0,61.0,51.0
1977,49,39,46,60,66.0,72.0,81.0,83.0,81.0,78.0,64.0,61.0
1978,50,43,43,55,66.0,72.0,78.0,81.0,81.0,77.0,66.0,63.0
